fips_st_cnty,cnty_name_st_abbrev,hosp_inpat_dys_22,hosp_inpat_dys_21,stgh_inpat_dys_22,stgh_inpat_dys_21,stnglth_inpat_dys_22,stnglth_inpat_dys_21,sth_psych_inpat_dys_22,sth_psych_inpat_dys_21,sth_rehab_inpat_dys_22,sth_rehab_inpat_dys_21,sth_child_inpat_dys_22,sth_child_inpat_dys_21,sth_child_psych_inpat_dys_22,sth_child_psych_inpat_dys_21,sth_acute_lt_inpat_dys_22,sth_acute_lt_inpat_dys_21,ltgh_med_surg_hosp_inpat_dys_22,ltgh_med_surg_hosp_inpat_dys_21,lth_psych_inpat_dys_22,lth_psych_inpat_dys_21,lth_rehab_inpat_dys_22,lth_rehab_inpat_dys_21,lth_chronc_dis_inpat_dys_22,lth_chronc_dis_inpat_dys_21,lth_intel_disblts_inpat_dys_22,lth_intel_disblts_inpat_dys_21,lth_child_psych_inpat_dys_22,lth_child_psych_inpat_dys_21,lth_acute_lt_inpat_dys_22,lth_acute_lt_inpat_dys_21,sth_comn_inpat_dys_22,sth_comn_inpat_dys_21,vetn_hosp_inpat_dys_22,vetn_hosp_inpat_dys_21,hosp_nh_inpat_dys_22,hosp_nh_inpat_dys_21,stgh_nh_inpat_dys_22,stgh_nh_inpat_dys_21,stnglth_nh_inpat_dys_22,stnglth_nh_inpat_dys_21,stgh_medcr_inpat_dys_22,stgh_medcr_inpat_dys_21,stnglth_medcr_inpat_dys_22,stnglth_medcr_inpat_dys_21,stgh_medcd_inpat_dys_22,stgh_medcd_inpat_dys_21,stnglth_medcd_inpat_dys_22,stnglth_medcd_inpat_dys_21,stgh_medcr_ip_dischg_22,stgh_medcr_ip_dischg_21,stnglth_medcr_ip_dischg_22,stnglth_medcr_ip_dischg_21,stgh_medcd_ip_dischg_22,stgh_medcd_ip_dischg_21,stnglth_medcd_ip_dischg_22,stnglth_medcd_ip_dischg_21,stgh_00_39_util_rate_pct_22,stgh_00_39_util_rate_pct_21,stgh_40_59_util_rate_pct_22,stgh_40_59_util_rate_pct_21,stgh_60_79_util_rate_pct_22,stgh_60_79_util_rate_pct_21,stgh_80_plus_util_rate_pct_22,stgh_80_plus_util_rate_pct_21,stgh_outpt_vists_22,stgh_outpt_vists_21,stngh_outpt_vists_22,stngh_outpt_vists_21,lth_outpt_vists_22,lth_outpt_vists_21,vetn_hosp_outpt_vists_22,vetn_hosp_outpt_vists_21,stgh_ed_vists_22,stgh_ed_vists_21,stnglth_ed_vists_22,stnglth_ed_vists_21,stgh_oth_outpt_vists_22,stgh_oth_outpt_vists_21,stnglth_oth_outpt_vists_22,stnglth_oth_outpt_vists_21,medcr_ffs_ed_vists_22,medcr_ffs_ed_vists_21,ed_vists_per_1k_medcr_ffs_22,ed_vists_per_1k_medcr_ffs_21,stgh_surg_opertn_inpat_22,stgh_surg_opertn_inpat_21,stnglth_surg_opertn_inpat_22,stnglth_surg_opertn_inpat_21,stgh_surg_opertn_outpt_22,stgh_surg_opertn_outpt_21,stnglth_surg_opertn_outpt_22,stnglth_surg_opertn_outpt_21,stgh_surg_opertn_22,stgh_surg_opertn_21,stnglth_surg_opertn_22,stnglth_surg_opertn_21,vetn_hosp_surg_opertn_22,vetn_hosp_surg_opertn_21,stgh_opertng_rms_22,stgh_opertng_rms_21,stnglth_opertng_rms_22,stnglth_opertng_rms_21,stgh_iso_rm_22,stgh_iso_rm_21,stnglth_iso_rm_22,stnglth_iso_rm_21
17081,"Jefferson, IL",34214,34955,34214,34955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34214,34955,0,0,0,0,0,0,0,0,21620,21852,0,0,6003,5741,0,0,4115,4145,0,0,1668,1566,0,0,1,1,0,0,1,1,0,0,292936,285981,0,0,0,0,0,0,30683,31104,0,0,262253,254877,0,0,4578,4502,784,744,2302,2181,0,0,5367,4910,0,0,7669,7091,0,0,0,0,15,9,0,0,21,62,0,0
17083,"Jersey, IL",2613,3233,2613,3233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2613,3233,0,0,0,0,0,0,0,0,2079,2436,0,0,169,263,0,0,638,690,0,0,62,93,0,0,1,1,0,0,0,0,0,0,153042,56695,0,0,0,0,0,0,8739,7241,0,0,144303,49454,0,0,2133,2022,695,623,112,281,0,0,2372,1935,0,0,2484,2216,0,0,0,0,2,2,0,0,9,9,0,0
17085,"Jo Daviess, IL",3482,3543,3482,3543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3482,3543,0,0,0,0,0,0,0,0,2512,2464,0,0,174,184,0,0,353,339,0,0,48,48,0,0,1,1,0,0,0,0,0,0,4631,4599,0,0,0,0,0,0,1438,1270,0,0,3193,3329,0,0,1233,1334,463,484,367,349,0,0,1643,1520,0,0,2010,1869,0,0,0,0,0,0,0,0,0,0,0,0
17087,"Johnson, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1146,604,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17089,"Kane, IL",295505,273409,162570,154649,132935,118760,0,0,0,0,0,0,0,0,0,0,0,0,132935,118760,0,0,0,0,0,0,0,0,0,0,162570,154649,0,0,0,0,0,0,0,0,87321,81967,0,0,28726,29472,0,0,16364,15251,0,0,5610,6364,0,0,1,1,2,2,1,1,0,0,998233,984659,0,0,0,0,0,0,119239,146817,0,0,878994,837842,0,0,27678,27075,580,553,5957,5697,0,0,18010,17253,0,0,23967,22950,0,0,0,0,31,50,0,0,43,47,0,0
17091,"Kankakee, IL",71487,78556,71487,78556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71487,78556,0,0,0,0,0,0,0,0,39655,42736,0,0,17884,19041,0,0,7576,8230,0,0,3170,4010,0,0,1,1,1,1,0,0,0,0,733552,739923,0,0,0,0,0,0,52866,68797,0,0,680686,671126,0,0,8646,9456,649,669,2785,3529,0,0,13177,12099,0,0,15962,15628,0,0,0,0,13,13,0,0,19,24,0,0
17093,"Kendall, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5786,5603,588,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17095,"Knox, IL",16132,14477,16132,14477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16132,14477,0,0,0,0,0,0,0,0,10777,9305,0,0,2716,3259,0,0,2182,2005,0,0,780,760,0,0,0,0,1,1,0,0,0,0,124578,109628,0,0,0,0,0,0,25892,18996,0,0,98686,90632,0,0,4209,4321,614,605,971,1005,0,0,4346,4004,0,0,5317,5009,0,0,0,0,7,7,0,0,5,5,0,0
17097,"Lake, IL",272159,270502,187768,186441,84391,84061,10955,11078,0,0,0,0,0,0,0,0,64116,63783,0,0,0,0,0,0,0,0,0,0,0,0,187768,186441,64116,63783,0,0,0,0,0,0,108868,110948,8003,7976,24744,26789,4940,5227,22341,21398,981,992,5421,6071,578,668,0,0,0,2,4,2,0,0,1288370,1298797,43730,43262,798874,404076,798874,404076,198463,178804,35381,31064,1089907,1119993,807223,416274,38460,37147,518,488,8547,9020,2177,2177,27927,26403,5763,11936,36474,35423,7940,14113,5559,11848,42,40,0,0,45,59,0,0
17099,"La Salle, IL",16227,20366,16227,20366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16227,20366,0,0,0,0,0,0,0,0,8845,11330,0,0,5003,4858,0,0,1547,2896,0,0,1058,1155,0,0,1,3,1,0,0,0,0,0,216400,386764,0,0,0,0,0,0,34878,41288,0,0,181522,345476,0,0,10625,10578,641,600,725,1201,0,0,5340,8635,0,0,6065,9836,0,0,0,0,7,14,0,0,7,11,0,0
