fips_st_cnty,cnty_name_st_abbrev,stgh_rptng_exp_23,stgh_rptng_exp_22,stnglth_rptng_exp_23,stnglth_rptng_exp_22,vetn_hosp_rptng_exp_23,vetn_hosp_rptng_exp_22,stgh_reprtd_fac_exp_thou_23,stgh_reprtd_fac_exp_thou_22,stnglth_reprtd_fac_exp_thou_23,stnglth_reprtd_fac_exp_thou_22,vetn_hosp_reprtd_fac_exp_thou_23,vetn_hosp_reprtd_fac_exp_thou_22,stgh_rptng_payrl_exp_23,stgh_rptng_payrl_exp_22,stnglth_rptng_payrl_exp_23,stnglth_rptng_payrl_exp_22,stgh_reprtd_payrl_exp_thou_23,stgh_reprtd_payrl_exp_thou_22,stnglth_reprtd_payrl_exp_thou_23,stnglth_reprtd_payrl_exp_thou_22,actl_ffs_costs_23,actl_ffs_costs_22,stdizd_ffs_costs_23,stdizd_ffs_costs_22,actl_per_cap_ffs_cost_23,actl_per_cap_ffs_cost_22,stdizd_per_cap_ffs_cost_23,stdizd_per_cap_ffs_cost_22,inpat_actl_ffs_costs_23,inpat_actl_ffs_costs_22,inpat_actl_cost_pct_23,inpat_actl_cost_pct_22,inpat_actl_ffs_cost_per_cap_23,inpat_actl_ffs_cost_per_cap_22,medcr_ffs_inpat_covrd_stay_23,medcr_ffs_inpat_covrd_stay_22,inpat_user_ffs_cost_23,inpat_user_ffs_cost_22,medcr_ffs_inpat_svc_pct_23,medcr_ffs_inpat_svc_pct_22,medcr_adv_ab_rate_0_bonus_pct_25,medcr_adv_ab_rate_0_bonus_pct_24,medcr_adv_ab_rate_3_5_pct_25,medcr_adv_ab_rate_3_5_pct_24,medcr_adv_ab_rate_5_bonus_pct_25,medcr_adv_ab_rate_5_bonus_pct_24,pts_seen_va_fac_23,pts_seen_va_fac_22,va_med_care_expd_23,va_med_care_expd_22
54109,"Wyoming, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24088413,25528320,24896070,25979672,11188.3,10527.14,11563.43,10713.27,8299874,9874605,34.46,38.68,3855.03,4072,368,408,22554.01,24202.46,17.09,16.82,1101.6,1061.96,1102.8,1061.96,1102.8,1061.96,504,541,11902,12694
55001,"Adams, WI",1,1,0,0,0,0,32287,29063,0,0,0,0,1,1,0,0,9059,7691,0,0,37914619,36964859,35993393,34249028,9951.34,8996.07,9447.08,8335.12,11308540,11766201,29.83,31.83,2968.12,2863.52,439,478,25759.77,24615.48,11.52,11.63,1058,1027.72,1058,1027.72,1058,1027.72,961,1002,18869,17165
55003,"Ashland, WI",1,1,0,0,0,0,137311,123456,0,0,0,0,1,1,0,0,49686,45477,0,0,23673827,25329956,22360776,23053197,11130.15,11389.37,10512.82,10365.65,7739303,8939165,32.69,35.29,3638.6,4019.41,277,296,27939.72,30199.88,13.02,13.31,1131.9,1106.59,1131.9,1106.59,1131.9,1106.59,424,425,7198,5816
55005,"Barron, WI",3,3,0,0,0,0,225668,233262,0,0,0,0,3,3,0,0,74764,79142,0,0,65449570,67491165,64822939,65907945,11005.48,10690.82,10900.11,10440.04,18280772,19079071,27.93,28.27,3073.95,3022.19,774,802,23618.57,23789.37,13.01,12.7,1073,1081.12,1108,1102.99,1123,1102.99,1363,1368,18597,14730
55007,"Bayfield, WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25684287,24885178,24979707,23959110,8624.68,8191.3,8388.08,7886.47,7523629,7494092,29.29,30.11,2526.4,2466.78,292,294,25765.85,25490.11,9.81,9.68,1095.8,1105.82,1131.5,1105.82,1132.3,1105.82,598,585,9256,7360
55009,"Brown, WI",4,4,3,3,0,0,1606013,1634154,53263,49119,0,0,4,4,3,3,605954,578971,34505,29463,146278770,146296666,147296550,146404060,10283.94,9658.46,10355.49,9665.55,34132671,36057531,23.33,24.65,2399.65,2380.51,1678,1786,20341.28,20188.99,11.8,11.79,1044.4,1036.63,1107.9,1099.73,1135.2,1126.78,5668,5665,78166,68089
55011,"Buffalo, WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22603248,22971095,21078417,20981208,10758.33,10522.72,10032.56,9611.18,5666878,6526716,25.07,28.41,2697.23,2989.79,232,273,24426.2,23907.38,11.04,12.51,1121.4,1079.25,1124.7,1098.83,1124.7,1098.83,433,422,5818,4333
55013,"Burnett, WI",1,1,0,0,0,0,20474,19269,0,0,0,0,1,1,0,0,8061,8499,0,0,28047296,28162553,27329557,26485597,9523.7,9012.02,9279.99,8475.39,7282661,8272692,25.97,29.37,2472.89,2647.26,304,365,23956.12,22664.91,10.32,11.68,1106.4,1126.75,1139.7,1126.75,1139.7,1126.75,730,734,12086,11703
55015,"Calumet, WI",1,1,0,0,0,0,29458,29115,0,0,0,0,1,1,0,0,7084,7583,0,0,25864172,23656748,25652631,23319886,11086.23,9369.01,10995.56,9235.6,5582940,5194343,21.59,21.96,2393.03,2057.17,283,252,19727.7,20612.47,12.13,9.98,1151.6,1135.54,1221.7,1204.66,1251.7,1223.94,1073,1085,11664,10669
55017,"Chippewa, WI",3,3,0,0,0,0,100340,98982,0,0,0,0,3,3,0,0,39418,37514,0,0,87508569,85269997,85365948,82005229,11275.42,10472.86,10999.35,10071.88,24667321,25002665,28.19,29.32,3178.37,3070.83,1018,1071,24231.16,23345.16,13.12,13.15,1120.3,1091.21,1129.6,1105.5,1129.6,1105.5,1910,1865,27787,24666
55019,"Clark, WI",1,1,0,0,0,0,28030,30580,0,0,0,0,1,1,0,0,10503,11374,0,0,35689085,35576042,33388310,32567616,12800.96,11823.21,11975.72,10823.4,11446904,12097578,32.07,34,4105.78,4020.46,428,458,26745.1,26413.93,15.35,15.22,1098.7,1080.91,1113.5,1090.26,1113.5,1090.26,727,751,11489,11430
55021,"Columbia, WI",2,2,0,0,0,0,145712,150599,0,0,0,0,2,2,0,0,56509,59694,0,0,69251046,66649212,63029691,59714561,9599.54,9157.63,8737.13,8204.8,22373933,22947743,32.31,34.43,3101.46,3153.03,880,876,25424.92,26196.05,12.2,12.04,1078.7,1080.69,1111.6,1113.58,1125.6,1127.68,1495,1474,25281,25406
55023,"Crawford, WI",1,1,0,0,0,0,67020,57044,0,0,0,0,1,1,0,0,26480,24268,0,0,26223296,25093740,24434958,22655176,11244.98,10313.91,10478.11,9311.62,6563017,6472399,25.03,25.79,2814.33,2660.25,260,265,25242.37,24424.15,11.15,10.89,1097.5,1091.05,1136.9,1131.24,1153.8,1148.47,426,429,6862,6607
55025,"Dane, WI",5,5,3,3,1,1,3937101,3805717,172093,162172,341537,341537,5,5,3,3,1351429,1223299,95617,88580,519398974,477774879,468489869,429250430,9879.76,9044.66,8911.4,8126.05,167794805,157439573,32.31,32.95,3191.71,2980.46,6330,6090,26507.87,25852.15,12.04,11.53,1003.6,1005.01,1034.2,1035.6,1047.2,1048.7,7503,7587,160881,180071
55027,"Dodge, WI",3,3,0,0,0,0,240708,264719,0,0,0,0,3,3,0,0,96468,98806,0,0,85339863,88930896,82288224,84036976,9663.67,9683.24,9318.11,9150.37,23335351,26687509,27.34,30.01,2642.44,2905.87,1065,1166,21911.13,22888.09,12.06,12.7,1084,1075.1,1114.7,1089.08,1114.7,1089.08,1822,1884,32168,29417
55029,"Door, WI",1,1,0,0,0,0,104169,103725,0,0,0,0,1,1,0,0,50573,56313,0,0,53466939,57810537,52913197,55259231,9466.53,9840.09,9368.48,9405.83,12594123,14942356,23.55,25.85,2229.84,2543.38,542,609,23236.39,24535.89,9.6,10.37,1109.7,1049.5,1133.8,1086.23,1133.8,1101.98,770,778,10258,10120
55031,"Douglas, WI",1,1,0,0,0,0,75732,74420,0,0,0,0,1,1,0,0,36077,35053,0,0,36834732,42861964,36461405,41530513,10172.53,10728.9,10069.43,10395.62,10405639,13558919,28.25,31.63,2873.69,3393.97,487,567,21366.82,23913.44,13.45,14.19,1074.7,1077.72,1109.7,1112.81,1124.7,1127.85,1441,1497,20767,19478
55033,"Dunn, WI",2,2,0,0,0,0,173469,171283,0,0,0,0,2,2,0,0,73315,69377,0,0,59048911,61271730,57915559,59662770,11441.37,10892.75,11221.77,10606.71,17381474,18325613,29.44,29.91,3367.85,3257.89,695,767,25009.32,23892.59,13.47,13.64,1072.5,1062.45,1072.5,1078.16,1072.5,1078.16,1029,988,16401,11579
55035,"Eau Claire, WI",3,3,1,1,0,0,1158087,1153592,77200,70434,0,0,3,3,1,1,484970,465316,21332,20247,123281109,124417676,119276475,118687582,11284.31,10533.16,10917.76,10048.05,35042121,35697661,28.42,28.69,3207.52,3022.15,1423,1570,24625.52,22737.36,13.03,13.29,1097.4,1080.75,1129.4,1104.33,1129.4,1104.33,2017,2004,23040,23378
55037,"Florence, WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7057111,7834891,7125410,7621076,9371.99,9842.83,9462.7,9574.22,1865803,2229059,26.44,28.45,2477.83,2800.33,79,92,23617.76,24228.9,10.49,11.56,1126.1,1089.25,1127.8,1103.01,1127.8,1103.01,292,305,7741,6273
55039,"Fond du Lac, WI",2,2,1,1,0,0,288778,297470,5336,3673,0,0,2,2,1,1,111924,110376,2763,2724,74110943,77122638,73339707,75727104,10501.76,10036.78,10392.48,9855.17,20744037,21141075,27.99,27.41,2939.5,2751.31,982,1014,21124.27,20849.19,13.92,13.2,1076.2,1079.9,1109,1102.31,1123,1102.31,1880,1882,24687,22390
